date,wtu,tpuCaldara,tpuBaker,epu,gdpDE,gdpFR,gdpIT,gdpES,gdpEA,pmiEA,pmiFR,pmiDE,pmiIT,pmiES,hicpES,hicpDE,hicpIT,hicpFR,hicpEA,euribor,invEA,invDE,invES,invFR,invIT,gdpEAln,invEAln,gdpUS,invUS,pmiUS,cpiUS,tbill
01/10/2020,0.00,1.99,2.09,2.39,1.14,-0.13,-0.06,0.73,0.33,55.20,51.10,58.30,52.80,-8.00,0.80,0.36,0.53,0.59,0.37,-0.55,4.49,3.10,0.28,4.73,1.31,28.65,27.14,1.08,3.10,60.20,0.79,0.09
01/01/2021,0.00,1.67,1.68,2.15,-1.11,0.37,1.83,1.20,0.58,62.50,59.30,66.60,59.80,-3.30,0.88,1.68,0.65,0.48,1.17,-0.54,-2.41,-2.50,-0.65,0.55,5.39,28.65,27.12,1.38,-0.61,63.80,1.07,0.03
01/04/2021,0.00,1.69,1.61,2.13,2.55,1.29,2.35,1.37,2.25,63.40,59.00,65.10,62.20,-1.00,0.97,0.74,0.61,0.49,0.69,-0.54,2.15,2.16,-0.39,2.02,4.39,28.68,27.14,1.57,-1.63,61.30,2.21,0.05
01/07/2021,0.00,1.71,0.88,2.15,0.04,2.84,2.53,1.97,1.82,58.60,55.00,58.40,59.70,2.70,1.32,1.28,1.15,1.17,1.08,-0.55,-1.12,-3.31,0.65,-0.71,3.27,28.69,27.13,0.85,3.85,60.80,1.19,0.04
01/10/2021,0.00,1.57,1.40,2.22,0.62,0.59,1.52,2.03,0.78,58.00,55.60,57.40,62.00,5.80,3.40,1.95,1.62,1.27,1.97,-0.57,3.34,1.03,1.29,-0.83,0.98,28.70,27.16,1.80,6.44,58.30,2.51,0.06
01/01/2022,0.00,1.73,1.85,2.28,0.18,-0.17,0.82,1.34,0.51,56.50,54.70,56.90,55.80,3.80,3.67,3.30,3.29,2.08,3.47,-0.46,-1.09,0.90,2.19,0.16,3.18,28.71,27.15,-0.26,1.80,57.20,2.37,0.51
01/04/2022,0.00,1.87,1.99,2.16,-0.02,0.45,1.36,1.72,0.91,52.10,51.40,52.00,50.90,1.90,1.29,1.61,2.19,1.83,1.91,-0.20,0.43,-0.72,0.20,-0.38,1.23,28.72,27.15,0.07,-2.21,53.50,2.65,1.66
01/07/2022,0.00,1.69,1.70,2.24,0.59,0.51,0.26,0.85,0.60,48.40,47.70,47.80,48.30,-5.20,0.35,3.62,1.95,0.94,2.24,1.17,0.90,0.37,0.95,1.18,-0.13,28.72,27.16,0.67,-1.46,51.10,0.46,3.22
01/10/2022,0.00,1.69,1.21,2.13,-0.51,0.11,-0.15,0.57,-0.09,47.80,49.20,47.10,48.50,-4.90,0.18,0.73,4.34,1.76,1.31,2.13,0.11,-0.81,-3.05,0.51,0.28,28.72,27.16,0.83,1.41,48.00,0.81,4.30
01/01/2023,3.54,1.82,1.93,2.18,0.15,-0.07,0.63,0.67,0.46,47.30,47.30,44.70,51.10,-3.50,1.14,1.60,-0.56,1.99,1.28,3.04,1.05,0.58,3.93,-0.30,8.33,28.73,27.17,0.69,-2.30,46.30,0.95,4.68
01/04/2023,1.62,1.72,1.66,2.16,-0.15,0.72,-0.30,0.25,0.08,43.40,46.00,40.60,43.80,-8.70,-0.06,0.75,0.97,0.51,0.61,3.58,-0.29,-0.24,0.01,0.51,-0.68,28.73,27.17,0.61,1.93,46.30,0.81,5.17
